"State","County","Median Housing Value, 2024 ($)","Median Property Taxes Paid, 2024 ($)(5-Year Estimate)","Effective Property Tax Rate (2024)"
"Georgia","Walton County","$339,500","2563","0.72%"
"Georgia","Ware County","$109,500","1047","0.85%"
"Georgia","Warren County","$67,100","730","0.78%"
"Georgia","Washington County","$112,500","1127","0.85%"
"Georgia","Wayne County","$162,800","1265","0.75%"
"Georgia","Webster County","$82,600","925","0.77%"
"Georgia","Wheeler County","$88,200","554","0.84%"
"Georgia","White County","$278,900","1800","0.62%"
"Georgia","Whitfield County","$218,000","1391","0.64%"
"Georgia","Wilcox County","$87,600","795","0.94%"
"Georgia","Wilkes County","$122,700","1292","0.87%"
"Georgia","Wilkinson County","$86,300","775","0.87%"
"Georgia","Worth County","$104,900","1185","0.98%"
"Hawaii","Hawaii County","$519,300","1459","0.35%"
"Hawaii","Honolulu County","$897,500","2553","0.31%"
"Hawaii","Kalawao County","-","n.a.","n.a."
"Hawaii","Kauai County","$873,200","1866","0.25%"
"Hawaii","Maui County","$904,700","1466","0.22%"
"Idaho","Ada County","$512,300","2655","0.53%"
"Idaho","Adams County","$376,500","1359","0.34%"
"Idaho","Bannock County","$300,700","1920","0.67%"
"Idaho","Bear Lake County","$275,000","1116","0.41%"
"Idaho","Benewah County","$293,500","1443","0.43%"
"Idaho","Bingham County","$293,300","1477","0.50%"
"Idaho","Blaine County","$735,300","2778","0.38%"
"Idaho","Boise County","$476,100","1611","0.38%"
"Idaho","Bonner County","$487,900","1847","0.40%"
"Idaho","Bonneville County","$368,800","1858","0.53%"
"Idaho","Boundary County","$410,500","1595","0.33%"
"Idaho","Butte County","$217,600","1061","0.53%"
"Idaho","Camas County","$304,000","1132","0.35%"
"Idaho","Canyon County","$390,000","2011","0.50%"
"Idaho","Caribou County","$241,500","1341","0.53%"
"Idaho","Cassia County","$284,600","1166","0.40%"
"Idaho","Clark County","$216,900","713","0.31%"
"Idaho","Clearwater County","$268,200","1443","0.51%"
"Idaho","Custer County","$381,700","1112","0.42%"
"Idaho","Elmore County","$316,500","1701","0.60%"
"Idaho","Franklin County","$372,600","1482","0.38%"
"Idaho","Fremont County","$314,200","1398","0.39%"
"Idaho","Gem County","$428,700","1418","0.32%"
"Idaho","Gooding County","$250,900","1279","0.43%"
"Idaho","Idaho County","$310,200","995","0.32%"
"Idaho","Jefferson County","$408,400","1824","0.47%"
"Idaho","Jerome County","$271,800","1725","0.62%"
"Idaho","Kootenai County","$518,700","2267","0.41%"
"Idaho","Latah County","$368,600","2368","0.59%"
"Idaho","Lemhi County","$326,100","1156","0.32%"
"Idaho","Lewis County","$225,300","1341","0.55%"
"Idaho","Lincoln County","$255,600","1092","0.42%"
"Idaho","Madison County","$414,800","2001","0.54%"
"Idaho","Minidoka County","$262,600","1261","0.51%"
"Idaho","Nez Perce County","$334,700","2609","0.75%"
"Idaho","Oneida County","$272,000","1207","0.46%"
"Idaho","Owyhee County","$359,800","1432","0.39%"
"Idaho","Payette County","$341,800","1357","0.45%"
"Idaho","Power County","$212,900","1496","0.62%"
"Idaho","Shoshone County","$267,400","1334","0.54%"
"Idaho","Teton County","$690,500","2143","0.35%"
"Idaho","Twin Falls County","$337,900","2066","0.61%"
"Idaho","Valley County","$657,000","1964","0.34%"
"Idaho","Washington County","$278,100","1371","0.47%"
"Illinois","Adams County","$162,600","2573","1.52%"
"Illinois","Alexander County","$59,800","1084","1.17%"
"Illinois","Bond County","$145,700","2747","1.78%"
"Illinois","Boone County","$216,900","4735","1.99%"
"Illinois","Brown County","$150,300","2291","1.34%"
"Illinois","Bureau County","$126,900","2548","1.70%"
"Illinois","Calhoun County","$190,900","2644","1.08%"
"Illinois","Carroll County","$114,500","2277","1.75%"
"Illinois","Cass County","$97,100","1958","1.55%"
"Illinois","Champaign County","$211,500","4353","2.04%"
"Illinois","Christian County","$115,500","1891","1.49%"
"Illinois","Clark County","$132,400","2064","1.39%"
"Illinois","Clay County","$97,400","1392","1.22%"
"Illinois","Clinton County","$192,400","3524","1.64%"
"Illinois","Coles County","$127,400","2474","1.72%"
"Illinois","Cook County","$324,500","6191","1.73%"
"Illinois","Crawford County","$121,100","1806","1.36%"
"Illinois","Cumberland County","$126,000","2004","1.26%"
"Illinois","DeKalb County","$243,600","5974","2.24%"
"Illinois","De Witt County","$130,300","2322","1.65%"
"Illinois","Douglas County","$150,400","2554","1.64%"
"Illinois","DuPage County","$391,400","8007","1.89%"
"Illinois","Edgar County","$97,300","1409","1.33%"
"Illinois","Edwards County","$100,000","1451","1.26%"
"Illinois","Effingham County","$189,500","2823","1.37%"
"Illinois","Fayette County","$130,700","1894","1.27%"
"Illinois","Ford County","$122,000","2587","1.83%"
"Illinois","Franklin County","$89,000","1394","1.18%"
"Illinois","Fulton County","$107,200","2289","1.71%"
"Illinois","Gallatin County","$82,900","1305","1.39%"
"Illinois","Greene County","$95,200","1661","0.93%"
"Illinois","Grundy County","$271,700","5420","1.86%"
"Illinois","Hamilton County","$113,700","1512","1.22%"
"Illinois","Hancock County","$113,800","2059","1.50%"
"Illinois","Hardin County","$103,800","1001","0.83%"
"Illinois","Henderson County","$104,400","1651","1.42%"
"Illinois","Henry County","$151,600","3016","1.86%"
"Illinois","Iroquois County","$137,800","2504","1.50%"
"Illinois","Jackson County","$137,300","2526","1.84%"
"Illinois","Jasper County","$125,500","2448","1.56%"
"Illinois","Jefferson County","$126,000","2148","1.58%"
"Illinois","Jersey County","$171,900","3020","1.58%"
"Illinois","Jo Daviess County","$209,900","3613","1.49%"
"Illinois","Johnson County","$160,500","1992","1.33%"
"Illinois","Kane County","$327,000","7382","2.18%"
"Illinois","Kankakee County","$192,600","4266","2.04%"
"Illinois","Kendall County","$322,400","7651","2.28%"
"Illinois","Knox County","$111,900","2190","1.81%"
"Illinois","Lake County","$345,700","8923","2.26%"
"Illinois","LaSalle County","$161,900","3418","1.90%"
"Illinois","Lawrence County","$99,100","1174","0.90%"
"Illinois","Lee County","$154,600","3048","1.77%"
"Illinois","Livingston County","$142,200","2908","1.88%"
"Illinois","Logan County","$134,400","2385","1.72%"
"Illinois","McDonough County","$107,500","2285","1.82%"
"Illinois","McHenry County","$308,100","7274","2.26%"
"Illinois","McLean County","$208,400","4524","2.11%"
"Illinois","Macon County","$127,300","2696","1.99%"
"Illinois","Macoupin County","$138,200","2073","1.39%"
"Illinois","Madison County","$173,000","3319","1.79%"
"Illinois","Marion County","$103,000","1759","1.54%"
"Illinois","Marshall County","$142,800","2766","1.70%"
"Illinois","Mason County","$103,400","2162","1.80%"
"Illinois","Massac County","$121,900","1704","1.30%"
"Illinois","Menard County","$185,500","3190","1.66%"
"Illinois","Mercer County","$146,700","2878","1.77%"
"Illinois","Monroe County","$282,100","4588","1.46%"
"Illinois","Montgomery County","$112,300","1887","1.32%"
"Illinois","Morgan County","$130,800","2306","1.70%"
"Illinois","Moultrie County","$134,000","2414","1.74%"
"Illinois","Ogle County","$189,200","3889","1.81%"
"Illinois","Peoria County","$158,500","3552","2.15%"
"Illinois","Perry County","$112,600","1807","1.42%"
"Illinois","Piatt County","$180,600","3265","1.66%"
"Illinois","Pike County","$101,400","1556","1.42%"
"Illinois","Pope County","$143,800","1477","0.99%"
"Illinois","Pulaski County","$85,100","869","1.03%"
"Illinois","Putnam County","$172,700","2705","1.46%"
"Illinois","Randolph County","$135,100","1927","1.29%"
"Illinois","Richland County","$112,000","1769","1.16%"
"Illinois","Rock Island County","$150,400","3425","2.13%"
"Illinois","St. Clair County","$180,300","3665","1.83%"
"Illinois","Saline County","$94,300","1597","1.65%"
"Illinois","Sangamon County","$176,300","3512","1.89%"
"Illinois","Schuyler County","$109,700","1950","1.55%"
"Illinois","Scott County","$96,400","1446","1.35%"
"Illinois","Shelby County","$137,100","2063","1.34%"
"Illinois","Stark County","$104,500","1768","1.62%"
"Illinois","Stephenson County","$134,900","3240","2.09%"
"Illinois","Tazewell County","$167,500","3536","1.98%"
"Illinois","Union County","$131,700","1712","1.15%"
"Illinois","Vermilion County","$97,200","1757","1.62%"
"Illinois","Wabash County","$104,900","1475","1.30%"
"Illinois","Warren County","$105,000","1903","1.28%"
"Illinois","Washington County","$155,700","2908","1.58%"
"Illinois","Wayne County","$110,700","1653","1.42%"
"Illinois","White County","$108,100","1444","1.01%"
"Illinois","Whiteside County","$127,100","2598","1.74%"
"Illinois","Will County","$319,600","7173","2.10%"
"Illinois","Williamson County","$156,400","2690","1.57%"
"Illinois","Winnebago County","$164,500","3930","2.28%"
"Illinois","Woodford County","$197,600","4215","1.90%"
"Indiana","Adams County","$178,400","1373","0.70%"
"Indiana","Allen County","$214,900","1689","0.77%"
"Indiana","Bartholomew County","$232,800","1738","0.71%"
"Indiana","Benton County","$151,000","1165","0.71%"
"Indiana","Blackford County","$107,500","873","0.75%"
"Indiana","Boone County","$376,200","2919","0.83%"
"Indiana","Brown County","$269,100","1177","0.45%"
"Indiana","Carroll County","$180,900","1015","0.57%"
"Indiana","Cass County","$133,800","910","0.69%"
"Indiana","Clark County","$222,900","1716","0.71%"
"Indiana","Clay County","$153,000","627","0.48%"
"Indiana","Clinton County","$164,100","980","0.64%"
"Indiana","Crawford County","$117,700","880","0.63%"
"Indiana","Daviess County","$197,200","1351","0.69%"
"Indiana","Dearborn County","$243,400","1789","0.72%"
"Indiana","Decatur County","$199,100","1230","0.57%"
"Indiana","DeKalb County","$194,100","1205","0.61%"
"Indiana","Delaware County","$139,400","1039","0.81%"
"Indiana","Dubois County","$230,100","1514","0.71%"
"Indiana","Elkhart County","$210,400","1717","0.82%"
"Indiana","Fayette County","$130,700","949","0.62%"
"Indiana","Floyd County","$251,000","1736","0.66%"
"Indiana","Fountain County","$143,400","849","0.61%"
"Indiana","Franklin County","$249,500","1479","0.55%"
"Indiana","Fulton County","$156,500","844","0.59%"
"Indiana","Gibson County","$180,000","1301","0.60%"
"Indiana","Grant County","$122,300","884","0.67%"
"Indiana","Greene County","$153,200","896","0.62%"
"Indiana","Hamilton County","$405,500","3549","0.87%"
"Indiana","Hancock County","$274,800","1806","0.68%"
"Indiana","Harrison County","$229,600","1224","0.56%"
"Indiana","Hendricks County","$307,600","2482","0.81%"
"Indiana","Henry County","$154,400","1124","0.67%"
"Indiana","Howard County","$165,000","1189","0.67%"
"Indiana","Huntington County","$161,600","1148","0.68%"
"Indiana","Jackson County","$178,300","881","0.53%"
"Indiana","Jasper County","$221,500","1029","0.50%"
"Indiana","Jay County","$117,500","707","0.60%"
"Indiana","Jefferson County","$194,600","1252","0.64%"
"Indiana","Jennings County","$161,500","971","0.61%"
"Indiana","Johnson County","$284,600","2024","0.73%"
"Indiana","Knox County","$137,700","933","0.74%"
"Indiana","Kosciusko County","$216,000","1303","0.63%"
"Indiana","LaGrange County","$255,900","1403","0.49%"
"Indiana","Lake County","$230,600","2112","0.93%"
"Indiana","LaPorte County","$195,500","1503","0.79%"
"Indiana","Lawrence County","$175,000","1049","0.69%"
"Indiana","Madison County","$161,300","1192","0.73%"
"Indiana","Marion County","$224,000","2028","0.89%"
"Indiana","Marshall County","$204,900","1362","0.67%"
"Indiana","Martin County","$159,400","865","0.55%"
"Indiana","Miami County","$126,200","756","0.48%"
"Indiana","Monroe County","$285,200","2036","0.74%"
"Indiana","Montgomery County","$171,800","1116","0.64%"
"Indiana","Morgan County","$237,600","1174","0.51%"
"Indiana","Newton County","$171,500","1323","0.79%"
"Indiana","Noble County","$196,800","1310","0.66%"
"Indiana","Ohio County","$213,100","1305","0.68%"
"Indiana","Orange County","$158,700","917","0.73%"
"Indiana","Owen County","$172,400","1145","0.64%"
"Indiana","Parke County","$151,200","735","0.46%"
"Indiana","Perry County","$163,400","1106","0.63%"
"Indiana","Pike County","$154,900","1206","0.77%"
"Indiana","Porter County","$281,500","2326","0.81%"
"Indiana","Posey County","$222,900","1384","0.52%"
"Indiana","Pulaski County","$156,400","708","0.56%"
"Indiana","Putnam County","$218,900","1042","0.45%"
"Indiana","Randolph County","$113,400","900","0.76%"
"Indiana","Ripley County","$222,500","1250","0.58%"
"Indiana","Rush County","$166,800","1079","0.60%"
"Indiana","St. Joseph County","$192,800","1665","0.85%"
"Indiana","Scott County","$158,400","1025","0.65%"
"Indiana","Shelby County","$212,400","1412","0.67%"
"Indiana","Spencer County","$185,200","1147","0.60%"
"Indiana","Starke County","$157,700","967","0.65%"
"Indiana","Steuben County","$216,200","1242","0.54%"
"Indiana","Sullivan County","$131,100","799","0.62%"
"Indiana","Switzerland County","$175,800","793","0.45%"
"Indiana","Tippecanoe County","$239,300","1474","0.67%"
"Indiana","Tipton County","$174,600","1139","0.63%"
"Indiana","Union County","$173,500","1116","0.71%"
"Indiana","Vanderburgh County","$184,000","1474","0.81%"
"Indiana","Vermillion County","$113,100","781","0.79%"
"Indiana","Vigo County","$148,500","1313","0.82%"
"Indiana","Wabash County","$157,200","813","0.51%"
"Indiana","Warren County","$182,500","914","0.55%"
"Indiana","Warrick County","$242,500","1631","0.68%"
"Indiana","Washington County","$172,200","1091","0.59%"
"Indiana","Wayne County","$140,200","1137","0.77%"
"Indiana","Wells County","$197,600","1065","0.49%"
"Indiana","White County","$175,900","953","0.56%"
"Indiana","Whitley County","$219,400","1537","0.72%"
"Iowa","Adair County","$160,400","2050","1.15%"
"Iowa","Adams County","$131,600","1661","0.95%"
"Iowa","Allamakee County","$172,300","2190","0.94%"
"Iowa","Appanoose County","$124,200","1667","1.15%"
"Iowa","Audubon County","$121,900","1634","0.86%"
"Iowa","Benton County","$208,200","2727","1.23%"
"Iowa","Black Hawk County","$188,900","2842","1.33%"
"Iowa","Boone County","$212,400","2910","1.29%"
"Iowa","Bremer County","$219,600","2824","1.23%"
"Iowa","Buchanan County","$176,000","2390","1.22%"
"Iowa","Buena Vista County","$159,500","1931","1.36%"
"Iowa","Butler County","$165,400","2226","1.25%"
"Iowa","Calhoun County","$118,800","1567","1.11%"
"Iowa","Carroll County","$176,000","1916","1.22%"
"Iowa","Cass County","$150,300","2019","1.40%"
"Iowa","Cedar County","$211,300","2568","1.08%"
"Iowa","Cerro Gordo County","$166,400","2410","1.27%"
"Iowa","Cherokee County","$158,700","1569","0.96%"
"Iowa","Chickasaw County","$182,600","1863","1.00%"
"Iowa","Clarke County","$161,100","2578","1.23%"
"Iowa","Clay County","$178,600","2050","0.93%"
"Iowa","Clayton County","$168,500","2181","0.98%"
"Iowa","Clinton County","$160,600","2461","1.34%"
"Iowa","Crawford County","$153,700","1973","1.28%"
"Iowa","Dallas County","$355,600","5001","1.37%"
"Iowa","Davis County","$161,900","2269","1.51%"
"Iowa","Decatur County","$113,900","1831","1.33%"
"Iowa","Delaware County","$177,900","2382","1.16%"
"Iowa","Des Moines County","$136,500","2058","1.36%"
"Iowa","Dickinson County","$270,700","2503","0.78%"
"Iowa","Dubuque County","$237,300","2919","1.15%"
"Iowa","Emmet County","$114,100","1680","1.18%"
"Iowa","Fayette County","$136,800","1782","1.29%"
"Iowa","Floyd County","$143,500","1929","1.15%"
"Iowa","Franklin County","$124,100","1633","1.20%"
"Iowa","Fremont County","$154,400","1868","1.01%"
"Iowa","Greene County","$155,400","1783","1.23%"
"Iowa","Grundy County","$198,800","2273","1.18%"
"Iowa","Guthrie County","$180,100","2199","1.16%"
"Iowa","Hamilton County","$156,400","1977","1.17%"
"Iowa","Hancock County","$141,400","1673","1.18%"
"Iowa","Hardin County","$122,500","1683","1.25%"
"Iowa","Harrison County","$176,000","2325","1.19%"
"Iowa","Henry County","$164,300","2559","1.43%"
"Iowa","Howard County","$147,800","1853","1.17%"
"Iowa","Humboldt County","$155,800","2011","1.34%"
"Iowa","Ida County","$108,900","1260","0.95%"
"Iowa","Iowa County","$193,900","2629","1.19%"
"Iowa","Jackson County","$175,000","2159","0.94%"
"Iowa","Jasper County","$186,300","2633","1.24%"
"Iowa","Jefferson County","$163,400","2311","1.35%"
"Iowa","Johnson County","$308,600","4681","1.40%"
"Iowa","Jones County","$184,800","2450","1.16%"
"Iowa","Keokuk County","$118,700","1494","1.13%"
"Iowa","Kossuth County","$148,300","1490","1.06%"
"Iowa","Lee County","$141,400","1955","1.28%"
"Iowa","Linn County","$214,300","3547","1.47%"
"Iowa","Louisa County","$150,100","1751","1.08%"
"Iowa","Lucas County","$120,200","1645","1.00%"
"Iowa","Lyon County","$230,000","1995","0.86%"
"Iowa","Madison County","$245,100","3624","1.25%"
"Iowa","Mahaska County","$157,800","2077","1.26%"
"Iowa","Marion County","$233,000","2848","1.17%"
"Iowa","Marshall County","$145,500","2067","1.29%"
"Iowa","Mills County","$237,800","3494","1.13%"
"Iowa","Mitchell County","$175,100","1919","0.99%"
"Iowa","Monona County","$142,900","1467","1.06%"
"Iowa","Monroe County","$156,300","2149","1.39%"
"Iowa","Montgomery County","$121,400","2007","1.33%"
"Iowa","Muscatine County","$182,100","2732","1.32%"
"Iowa","O'Brien County","$173,100","1701","1.03%"
"Iowa","Osceola County","$122,600","1387","0.95%"
"Iowa","Page County","$125,300","1764","1.20%"
"Iowa","Palo Alto County","$123,200","1474","1.06%"
"Iowa","Plymouth County","$228,900","2455","0.99%"
"Iowa","Pocahontas County","$98,100","1111","1.06%"
"Iowa","Polk County","$262,100","4396","1.57%"
"Iowa","Pottawattamie County","$195,700","3067","1.32%"
"Iowa","Poweshiek County","$209,300","2563","1.11%"
"Iowa","Ringgold County","$156,200","2098","1.15%"
"Iowa","Sac County","$141,400","1556","0.93%"
"Iowa","Scott County","$222,000","3273","1.44%"
"Iowa","Shelby County","$164,000","2094","1.19%"
"Iowa","Sioux County","$250,100","2801","1.08%"
"Iowa","Story County","$258,700","3632","1.36%"
"Iowa","Tama County","$148,600","2043","1.20%"
"Iowa","Taylor County","$117,200","1482","1.14%"
"Iowa","Union County","$122,000","2197","1.48%"
"Iowa","Van Buren County","$114,600","1355","0.78%"
"Iowa","Wapello County","$125,100","1974","1.37%"
"Iowa","Warren County","$269,600","3865","1.39%"
"Iowa","Washington County","$203,900","2788","1.20%"
"Iowa","Wayne County","$111,300","1509","1.14%"
"Iowa","Webster County","$153,800","2138","1.39%"
"Iowa","Winnebago County","$135,000","1781","1.35%"
"Iowa","Winneshiek County","$259,200","2894","0.99%"
"Iowa","Woodbury County","$183,200","2656","1.39%"
"Iowa","Worth County","$145,800","1600","0.91%"
"Iowa","Wright County","$119,600","1806","1.28%"
"Kansas","Allen County","$107,600","1796","1.30%"
"Kansas","Anderson County","$171,400","2353","1.37%"
"Kansas","Atchison County","$145,700","1925","1.31%"
"Kansas","Barber County","$97,000","1648","1.36%"
"Kansas","Barton County","$126,400","2126","1.57%"
"Kansas","Bourbon County","$113,800","1789","1.35%"
"Kansas","Brown County","$118,100","1461","1.06%"
"Kansas","Butler County","$217,600","3177","1.47%"
"Kansas","Chase County","$109,700","1500","1.26%"
"Kansas","Chautauqua County","$65,500","991","1.00%"
"Kansas","Cherokee County","$100,100","1219","1.06%"
"Kansas","Cheyenne County","$125,900","1636","1.35%"
"Kansas","Clark County","$87,600","1699","1.05%"
"Kansas","Clay County","$155,900","2055","1.32%"
"Kansas","Cloud County","$100,000","1704","1.50%"
"Kansas","Coffey County","$157,400","1717","0.91%"
"Kansas","Comanche County","$69,600","1500","1.93%"
"Kansas","Cowley County","$120,900","1999","1.15%"
"Kansas","Crawford County","$132,600","1406","1.06%"
"Kansas","Decatur County","$89,500","1604","1.51%"
"Kansas","Dickinson County","$146,800","2154","1.38%"
"Kansas","Doniphan County","$135,200","1445","0.91%"
"Kansas","Douglas County","$309,400","3776","1.19%"
"Kansas","Edwards County","$70,900","1120","1.18%"
"Kansas","Elk County","$68,500","1388","1.66%"
"Kansas","Ellis County","$216,300","2682","1.12%"
"Kansas","Ellsworth County","$114,900","1693","1.46%"
"Kansas","Finney County","$201,400","2900","1.36%"
"Kansas","Ford County","$151,100","2300","1.34%"
"Kansas","Franklin County","$198,700","2810","1.31%"
"Kansas","Geary County","$172,700","2496","1.47%"
"Kansas","Gove County","$118,400","1730","1.27%"
"Kansas","Graham County","$89,900","1641","1.47%"
"Kansas","Grant County","$110,300","1670","1.21%"
"Kansas","Gray County","$206,000","3071","1.35%"
"Kansas","Greeley County","$115,200","2178","1.79%"
"Kansas","Greenwood County","$88,700","1348","1.22%"
"Kansas","Hamilton County","$115,800","1729","1.58%"
"Kansas","Harper County","$83,800","1495","1.56%"
"Kansas","Harvey County","$180,300","2715","1.40%"
"Kansas","Haskell County","$165,100","2396","1.35%"
"Kansas","Hodgeman County","$101,600","1683","1.35%"
"Kansas","Jackson County","$207,300","2363","1.10%"
"Kansas","Jefferson County","$216,900","2733","1.11%"
"Kansas","Jewell County","$64,600","1247","1.21%"
"Kansas","Johnson County","$391,200","4447","1.12%"
"Kansas","Kearny County","$200,900","2108","1.14%"
"Kansas","Kingman County","$111,100","1935","1.38%"
"Kansas","Kiowa County","$155,300","1720","1.21%"
"Kansas","Labette County","$94,600","1559","1.40%"
"Kansas","Lane County","$127,100","1680","1.37%"
"Kansas","Leavenworth County","$282,900","3424","1.03%"
"Kansas","Lincoln County","$96,900","1419","1.54%"
"Kansas","Linn County","$173,600","2007","1.00%"
"Kansas","Logan County","$117,900","1932","1.69%"
"Kansas","Lyon County","$150,600","2341","1.36%"
"Kansas","McPherson County","$211,200","2901","1.33%"
"Kansas","Marion County","$124,200","2006","1.45%"
"Kansas","Marshall County","$127,700","1574","1.14%"
"Kansas","Meade County","$148,900","2005","1.12%"
"Kansas","Miami County","$287,700","3643","1.19%"
"Kansas","Mitchell County","$133,800","2217","1.49%"
"Kansas","Montgomery County","$101,700","1754","1.56%"
"Kansas","Morris County","$129,600","1898","1.44%"
"Kansas","Morton County","$96,100","1995","1.84%"
"Kansas","Nemaha County","$217,200","2080","0.91%"
"Kansas","Neosho County","$111,300","1637","1.41%"
"Kansas","Ness County","$89,700","1751","1.55%"
"Kansas","Norton County","$101,500","1724","1.10%"
"Kansas","Osage County","$156,800","2343","1.32%"
"Kansas","Osborne County","$86,400","1465","1.34%"
"Kansas","Ottawa County","$166,000","2760","1.34%"
"Kansas","Pawnee County","$93,000","1887","1.69%"
"Kansas","Phillips County","$96,500","1738","1.19%"
"Kansas","Pottawatomie County","$245,900","2792","1.00%"
"Kansas","Pratt County","$114,600","1993","1.55%"
"Kansas","Rawlins County","$103,800","1620","1.43%"
"Kansas","Reno County","$132,500","2158","1.48%"
"Kansas","Republic County","$75,600","1350","1.43%"
"Kansas","Rice County","$104,600","1593","1.35%"
"Kansas","Riley County","$237,100","3466","1.41%"
"Kansas","Rooks County","$89,000","1718","1.54%"
"Kansas","Rush County","$83,600","1562","1.33%"
"Kansas","Russell County","$119,000","2218","1.56%"
"Kansas","Saline County","$179,600","2345","1.34%"
"Kansas","Scott County","$160,000","2640","1.57%"
"Kansas","Sedgwick County","$203,300","2461","1.18%"
"Kansas","Seward County","$136,500","2284","1.56%"
"Kansas","Shawnee County","$180,900","2705","1.34%"
"Kansas","Sheridan County","$167,200","2490","1.21%"
"Kansas","Sherman County","$136,700","2171","1.45%"
"Kansas","Smith County","$94,100","1722","1.71%"
"Kansas","Stafford County","$97,600","1550","1.26%"
"Kansas","Stanton County","$67,800","1667","1.91%"
"Kansas","Stevens County","$129,300","2433","1.78%"
"Kansas","Sumner County","$135,100","2130","1.36%"
"Kansas","Thomas County","$172,700","2440","1.34%"
"Kansas","Trego County","$120,900","1753","1.39%"
"Kansas","Wabaunsee County","$177,300","2276","1.06%"
"Kansas","Wallace County","$105,000","1405","1.38%"
"Kansas","Washington County","$117,100","1607","0.90%"
"Kansas","Wichita County","$99,300","1728","1.35%"
"Kansas","Wilson County","$93,500","1387","1.27%"
"Kansas","Woodson County","$81,200","1569","1.36%"
"Kansas","Wyandotte County","$172,300","2509","1.39%"
"Kentucky","Adair County","$150,800","971","0.56%"
"Kentucky","Allen County","$192,300","1046","0.57%"
"Kentucky","Anderson County","$225,100","1697","0.72%"
"Kentucky","Ballard County","$145,800","1065","0.66%"
"Kentucky","Barren County","$178,000","1212","0.59%"
"Kentucky","Bath County","$129,800","850","0.56%"
"Kentucky","Bell County","$89,000","723","0.57%"
"Kentucky","Boone County","$277,300","2372","0.84%"
"Kentucky","Bourbon County","$229,300","1627","0.57%"
"Kentucky","Boyd County","$130,700","1156","0.79%"
"Kentucky","Boyle County","$209,900","1731","0.76%"
"Kentucky","Bracken County","$125,000","1149","0.73%"
"Kentucky","Breathitt County","$70,300","510","0.66%"
"Kentucky","Breckinridge County","$156,700","916","0.54%"
"Kentucky","Bullitt County","$247,200","2050","0.84%"
"Kentucky","Butler County","$111,100","645","0.50%"
"Kentucky","Caldwell County","$118,500","643","0.52%"
"Kentucky","Calloway County","$183,200","1195","0.61%"
"Kentucky","Campbell County","$252,000","2556","1.06%"
"Kentucky","Carlisle County","$120,400","945","0.51%"
"Kentucky","Carroll County","$140,900","1070","0.62%"
"Kentucky","Carter County","$132,800","649","0.45%"
"Kentucky","Casey County","$136,300","812","0.54%"
"Kentucky","Christian County","$173,600","1126","0.59%"
"Kentucky","Clark County","$205,800","1451","0.75%"
"Kentucky","Clay County","$90,700","634","0.49%"
"Kentucky","Clinton County","$122,200","637","0.42%"
"Kentucky","Crittenden County","$127,300","731","0.47%"
"Kentucky","Cumberland County","$141,100","760","0.51%"
"Kentucky","Daviess County","$199,900","1675","0.81%"
"Kentucky","Edmonson County","$160,300","881","0.51%"
"Kentucky","Elliott County","$123,500","755","0.50%"
"Kentucky","Estill County","$119,500","799","0.63%"
"Kentucky","Fayette County","$293,500","2542","0.84%"
"Kentucky","Fleming County","$134,700","866","0.57%"
"Kentucky","Floyd County","$98,700","748","0.67%"
"Kentucky","Franklin County","$216,600","1716","0.73%"
"Kentucky","Fulton County","$79,100","634","0.64%"
"Kentucky","Gallatin County","$178,200","1476","0.71%"
"Kentucky","Garrard County","$204,900","1422","0.59%"
"Kentucky","Grant County","$209,500","1432","0.66%"
"Kentucky","Graves County","$147,800","970","0.58%"
"Kentucky","Grayson County","$164,600","930","0.50%"
"Kentucky","Green County","$125,000","817","0.17%"
"Kentucky","Greenup County","$134,000","1171","0.94%"
"Kentucky","Hancock County","$141,200","930","0.66%"
"Kentucky","Hardin County","$225,800","1480","0.63%"
"Kentucky","Harlan County","$73,700","732","0.74%"
"Kentucky","Harrison County","$202,100","1328","0.50%"
"Kentucky","Hart County","$146,000","965","0.68%"
"Kentucky","Henderson County","$171,900","1548","0.86%"
"Kentucky","Henry County","$197,900","1611","0.73%"
"Kentucky","Hickman County","$115,700","779","0.55%"
"Kentucky","Hopkins County","$142,800","1104","0.73%"
"Kentucky","Jackson County","$111,500","687","0.47%"
"Kentucky","Jefferson County","$248,400","2136","0.85%"
"Kentucky","Jessamine County","$268,100","1960","0.73%"
"Kentucky","Johnson County","$120,200","792","0.57%"
"Kentucky","Kenton County","$244,400","2395","0.96%"
"Kentucky","Knott County","$77,000","571","0.51%"
"Kentucky","Knox County","$118,700","779","0.54%"
"Kentucky","Larue County","$183,500","1104","0.58%"
"Kentucky","Laurel County","$159,500","906","0.49%"
"Kentucky","Lawrence County","$111,700","793","0.61%"
"Kentucky","Lee County","$83,900","705","0.76%"
"Kentucky","Leslie County","$69,000","563","0.67%"
"Kentucky","Letcher County","$67,400","648","0.67%"
"Kentucky","Lewis County","$96,000","617","0.50%"
"Kentucky","Lincoln County","$147,300","1066","0.64%"
"Kentucky","Livingston County","$125,600","770","0.54%"
"Kentucky","Logan County","$164,900","1010","0.65%"
"Kentucky","Lyon County","$189,500","1196","0.57%"
"Kentucky","McCracken County","$188,100","1410","0.79%"
"Kentucky","McCreary County","$85,300","554","0.47%"
"Kentucky","McLean County","$148,500","954","0.66%"
"Kentucky","Madison County","$232,000","1698","0.71%"
